id	comment_text	toxicity	gender
6279464	That's not what they want to hear. In one instance, an armed citizen drew his weapon and was promptly shot in the back by the shooter's accomplice, his wife. The would be hero assumed a woman was not a potential threat.	0	0
5586206	This letter by a woman is too sensible.  She must be crazy.	1	0
1075922	"Hold it - are you trying to say that women shouldn't hang out in bars looking to ""hook up""? Have you ever seen a popular club or bar late at night? There are lots of people of all sexes there for the purpose of ""hooking up."""	0	0
5376765	"There will never be compulsory service for women in Canada. That isn't the kind of ""equality"" feminists are after."	0	0
401039	It is what it is bra.  Deal with it.  It started out with two brothers and ended up with five of them.  It was a conspiracy to commit gang rape on a drunk woman.	1	0
5820814	I'm a black man that managed to survive the Jim Crow days. Do you miss the good old days when a white man could get away with murdering black people while they pray in church?	1	1
876257	These aren't womens' marches.  They are puppets' marches.  Mindless puppets of the Washington Post, New York Times and the rest of the world's liberati media.  Got to feel sorry for these women.	1	0
6047776	"TomZ,  Really!!!
Your bad mouth about women include your mother, your sisters, your grandmother, your wife, your daughters, Holy Mary, Angels, and saints?
You deserve a title 'a son of a bitch'!!!  l hope that you are proud of your new title!  I hope you have no daughter(s) to denigrate!  Are you proud of your trash mind and your trash mouth?  Just good look at yourself, can you live with yourself, may be you should run for the next presidency, may be you could trash Americans more then DT!   Well, pope F. And all his clergies holding out to have a right to rape Children! so, you can bit them,
No problem there! Good luck!"	1	0
5022632	"""So few women are doing their democratic duty....so few women comment on line...""
Yeah, sorry about that.  I guess I was busy looking after the kids or cooking or doing the laundry, or grocery shopping or mowing the lawn, while my husband was reading the G&M and posting his comments on-line.  Maybe when the nest is empty,  i'll have time to get more involved."	0	0
540148	Men worshipping a male diety is kinda gay. #YesHomo #SheIsRisen	1	1
659723	Lighten up on the difficult choices many women feel forced to make due to the lack of caring from conservative fright-wingers that don't really care if a baby gets fed, they just want to make sure it gets born.	0	0
274484	Nah.  I called you on your own double-standards.  You accuse this individual of pandering to her financial backers, when that's PRECISELY what every white politician does--including the ones you worship.  So what is it that's REALLY bothering you besides the woman's hair-do?	0	0
894737	I agree with you Don227. If there was an article disparaging women as idiots there would be a protest and a parade.	1	0
609344	"I did not actually say that one must be subject to the legislation in order to make it -- although, in fact, the legislators who make criminal law are subject to it.

My point was that the overly strict laws on divorce and remarriage were written by the unmarried. They didn't care that it was hard on the people who would be affected by it, since it would not AFFECT them. That is something quite different from the Straw Man you erected."	0	1
5784167	FM:  I am a white male.  And I am not a victim of anything.  So what is it exactly that I am to repent about?  What am I going to be forgiven for?  Being white?  Slavery and slave holdings?  That was 150 years ago and no one in my family was a part of that (actually they fought on the Union side and they weren't KKK).	0	1
876719	I think your right, but willing to listen. I have above equal respect for Women, but if it is a late term right for abortion, I can't agree. That is murder. Not sure what other rights that are not equal, but would like to here. Most of my bosses have been women:)	0	0
6047927	Amazing woman, tough circumstances.  She will be missed on the school board but glad to see her take the time to do what's right for her family.  Sending good vibes her way.	0	0
965883	The consolidated data from the nearly 300 contributing police agencies has confirmed that 70% of the aboriginal women who are murdered in Canada meet their fate at the hands of someone of their own race.  The inquiry should be focusing their efforts on the violence within First nations communities.	0	0
842725	So you are a sane young black ( or non-white ) liberal college educated atheist woman ( or LGBT )...? ... or  were you born an insulting  ( mentally  challenged  ) tard. Oooops...turd.	1	0
6046146	The librarian is a hateful, snarky,  green with jealousy, pathetic woman. She should resign with shame.	1	0
346809	"Your taste in men is as appalling as it is funny.  Your expectation that that  orange faced clown is going to put on his big boy pants and go to ""president school"" to learn how to speak without putting both feet in his mouth, much learn how to be presidential, is ludicrous. The man is 69 years old. If he hasn't learned how to act in public by now he never will. Patently ridiculous."	1	1
903822	Leah, this article is a waste of a read so.........there must be a woman's march somewhere that you can take your four year old to.  Oh!.....wait a minute!  You've already done that?  Who knew?	0	0
5359881	"""...“Definitely not,” said Trudeau. He later added: “Although I will say, I have one daughter and there is something very special about imagining a woman prime minister. I think it’s long overdue...""
.
.
Didn't take long for an airhead comment...
.

Kim Campbell.
.
Duh.

How she got there, how long she held the job, etc.etc., is irrelevant, she had the title. The sad thing? She was PM in his lifetime, we are not talking about an event in the nineteenth century."	0	0
5685492	The paranoia of the belief Americans are all racist never ends, all you do is dumb it down so when racism does occur people won't care because whiny little white women who think everything is racist.	1	0
724809	"You should have killed your self you pig of a person (to call you a man would be an INSULT to every MAN on this planet)
I had the opportunity to see and hear your snoring (like a busted chainsaw) in the King County Jail. You upset every other person you came into contact with in each TANK you were put into, as they all voted to throw your ASS out because of your UNGODLY SNORING and because of that, and the fact that you are a narcissistic murderer, you will forever be a piece of shit that is UNFIT to live in this world.
I was released on June 1st 2012 as the 150 months that I was supposed to be convicted of turned out to be 365 days with 365 days ""SUSPENDED"" No jail time!
Wow, I wonder how that happened?
Maybe because I was innocent?
I was ""Falsely Accused"" and I won out in the end.
I have no crime on my conscience..just a messed up and sick daughter and sadly a granddaughter who was fucked up by her sick/ mental mother."	1	1
6305934	"What??  Are you experiencing a temporary fever of some kind?  Your remark is aggressive and uncouth.  All I said was that ""the women's movement"" --- such as it is --- is no longer held together by the quest for certain rights granted a long time ago, but by alleged ""reproductive rights --- abortion rights.  So why do you need to be crude?  Is this your idea of being ""nasty""?  It's laughable."	0	0
5975584	"You must be new to Oregon?  

Did you miss last year's Portland naked bike ride?

KOIN said there were 10,000 people there, many naked bike riders.

 http://koin.com/2016/06/25/photos-2016-world-naked-bike-ride-in-portland/

The Oregon Supreme Court has found naked people  are 'covered' (so to speak!) by Oregon's Constitutional guarantee of Freedom of Expression.    

The Oregon Court of Appeals also reversed Judge Merten a few years ago when he found a local woman riding around naked day and night here in Eugene to be 'a danger to herself' and had her committed.

Nude women are legal in Oregon strip clubs.  Don't go in them or deal with it.

Nude women wandering the streets in Oregon are mostly legal.  Deal with it."	0	0
5021118	When all is said and done, Kenney is incompetent and unfit to lead a garbage truck.  The man is a walking dumpster fire.	1	1
5776031	"No one wants to reply to this? You want to bash Ms. Henein and everyone else who doubts Damore's flawed ""scientific"" studies because he says it's true? Then you get personal and trash Ms. Henein's profession and her career because you need to sidebar the actual conversation because it's weak at best?

One day you'll wake up and realize you're also part of the problem when you don't condone such ridiculous & untrue ""facts"" about women. When your daughters grow up wondering why there's still a glass ceiling and looking to you for answers, what do you tell them?"	0	0
5240151	Damn Alaska has some ugly women.	1	0
716291	"Of course some women experience emotional and physical trauma, during and after abortions. I've never said otherwise. I was just noting that if this choice is presented as a ,matter of risk assessment, women run greater risk when they carry a pregnancy to term, and it is dishonest to suggest otherwise. 

I am not willing to think of proven falsehoods as ""information."" Nor can I admire organizations that dress volunteers up in lab-coats, to dispense such ""information""  as though it were substantiated fact. Also, I do not think that any tactic that keeps an abortion from occurring  is by definition morally sound. These views often bring me into conflict with anti-abortion advocates.

 I'm told some theologians have regarded lying as the most grave of the capital sins, because of the violence lies do to the pre-eminent human project of seeking Truth. Lying is like crapping in the cistern from which we all drink. If one can't fight without falsehood, the fight may not be well conceived."	0	0
